Occupation Title,,Median Annual Wage 2018,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Typical on-the-job Training
"Insurance appraisers, auto damage    * Auto Damage Appraiser* Auto Damage Insurance Appraiser* Automobile Damage Appraiser* Vehicle Damage Appraiser",,"62,520",Postsecondary nondegree award,5,None,Moderate-term on-the-job training
Insurance claims and policy processing clerks    * Insurance Claims Clerk* Insurance Clerk* Insurance Examining Clerk* Insurance Policy Issue Clerk* Underwriting Assistant* Underwriting Clerk,,"39,660",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Insurance sales agents    * Health Insurance Sales Agent* Insurance Agent* Insurance Broker* Life Insurance Agent* Life Insurance Salesperson* Pension Agent,,"50,600",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Insurance underwriters    * Automobile and Property Underwriter* Bond Underwriter* Insurance Analyst* Insurance Underwriter* Insurance Writer* Underwriting Account Representative* Underwriting Service Representative,,"69,380",Bachelor's degree,3,None,Moderate-term on-the-job training
Interior designers    * Certified Kitchen Designer* Furniture Arranger* Home Lighting Adviser* Interior Decorator* Interior Designer* Kitchen Designer* Kitchen and Bath Designer,,"53,370",Bachelor's degree,3,None,None
"Internists, general    * General Internal Medicine Doctor* General Internal Medicine Physician* General Internist* Internal Medicine Physician* Internist",,"194,500",Doctoral or professional degree,1,None,Internship/residency
Interpreters and translators    * American Sign Language Interpreter* Court Interpreter* Deaf Interpreter* Diplomatic Interpreter* Language Translator* Translator,,"49,930",Bachelor's degree,3,None,None
"Interviewers, except eligibility and loan    * Admitting Interviewer* Census Clerk* Census Taker* Field Enumerator* Market Research Interviewer* Outpatient Interviewing Clerk* Survey Interviewer* Telephone Interviewer",,"34,060",High school diploma or equivalent,7,None,Short-term on-the-job training
"Janitors and cleaners, except maids and housekeeping cleaners    * Building Custodian* Cleaning and Maintenance Worker* Custodial Worker* Custodian* Floor Cleaner* Heavy Duty Custodian* Industrial Plant Custodian* Janitor* Office Cleaner* School Custodian* Window Cleaner* Window Washer",,"26,110",No formal educational credential,8,None,Short-term on-the-job training
Jewelers and precious stone and metal workers    * Diamond Grader* Diamond Polisher* Diamond Setter* Facetor* Gem Cutter* Gemologist* Goldsmith* Jewelry Repairer* Jewelsmith* Lapidarist* Pewterer* Silversmith,,"39,440",High school diploma or equivalent,7,None,Long-term on-the-job training
"Judges, magistrate judges, and magistrates    * Administrative Court Justice* Circuit Court Judge* County Court Judge* Criminal Court Judge* District Court Judge* Jurist* Justice* Probate Judge* Trial Court Judge* Tribal Judge",,"133,920",Doctoral or professional degree,1,5 years or more,Short-term on-the-job training
Judicial law clerks    * Judicial Clerk,,"53,540",Doctoral or professional degree,1,None,None
"Kindergarten teachers, except special education    * Bilingual Kindergarten Teacher* Kindergarten Teacher",,"55,470",Bachelor's degree,3,None,None
Labor relations specialists    * Employee Relations Specialist* Industrial Relations Analyst* Industrial Relations Specialist* Labor Relations Consultant* Labor Relations Representative* Union Representative,,"67,790",Bachelor's degree,3,Less than 5 years,None
"Laborers and freight, stock, and material movers, hand    * Cargo Handler* Cart Pusher* Freight Handler* Grave Digger* Manufacturing Laborer* Material Handler* Package Handler* Shipping and Receiving Material Handler* Stock Mover* Van Loader* Wharf Laborer",,"28,260",No formal educational credential,8,None,Short-term on-the-job training
Landscape architects    * Golf Course Architect* Golf Course Designer* Landscape Designer* Lanscape Architect,,"68,230",Bachelor's degree,3,None,Internship/residency
Landscaping and groundskeeping workers    * Golf Course Laborer* Greenskeeper* Greenskeeper Laborer* Grounds Caretaker* Grounds Maintenance Worker* Hedge Trimmer* Lawn Care Worker* Lawn Caretaker* Lawn Maintenance Worker* Lawn Mower* Lawn Service Worker* Shrub Planter* Sod Layer,,"29,000",No formal educational credential,8,None,Short-term on-the-job training
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic    * Engine Lathe Operator* Gear Cutter* Screw Machine Operator* Screw Machine Tool Setter",,"39,180",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Laundry and dry-cleaning workers    * Drycleaner* Launderer* Laundress* Laundry Attendant* Laundry Equipment Operator* Laundry Operator* Laundry Sorter* Laundry Worker* Precision Dyer,,"23,210",No formal educational credential,8,None,Short-term on-the-job training
"Law teachers, postsecondary    * Constitutional Law Professor* Contracts Law Professor* Criminal Law Professor* Environmental Law Professor* Labor Law Professor* Torts Law Professor",,"111,140",Doctoral or professional degree,1,Less than 5 years,None
Lawyers    * Agency Legal Counsel* Assistant Attorney General* Assistant Corporation Counsel* Assistant Counsel* Associate Attorney* Attorney* Attorney At Law* Attorney General* Brief Writer* City Attorney* Civil Lawyer* Commonwealth Attorney* Corporate Attorney* Corporate Counsel* Corporate Counselor* County Attorney* Defense Attorney* Deputy Attorney General* Deputy Chief Counsel* District Attorney* Environmental Attorney* Estate Conservator* General Counsel* Insurance Attorney* Lawyer* Legal Counsel* Probate Lawyer* Prosecutor* Public Defender* Real Estate Attorney* Sports Attorney* Tax Attorney* Trial Attorney* Trial Lawyer,,"120,910",Doctoral or professional degree,1,None,None
"Layout workers, metal and plastic    * Shipfitter* Shipfitter Apprentice",,"47,900",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Legal secretaries    * Accredited Legal Secretary* Certified Legal Secretary Specialist* Law Secretary* Legal Administrative Assistant,,"46,360",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Legal support workers, all other    * Legal Technician",,"58,930",Associate's degree,4,None,None
Legislators    * City Alderman* City Council Member* Congressional Representative* Councilor* Legislator* Member of Congress* Selectman* Senator* Tribal Council Member,,"24,670",Bachelor's degree,3,Less than 5 years,None
Librarians    * Acquisitions Librarian* Catalog Librarian* Children's Librarian* Collection Development Librarian* College Librarian* Electronic Resources Librarian* Film Librarian* Government Documents Librarian* High School Librarian* Interlibrary Loan Services Librarian* Law Librarian* Medical Librarian* Music Librarian* Periodicals Librarian* Record Librarian* Reference Librarian* Research Librarian* School Librarian* Serials Librarian* Technical Services Librarian* University Librarian* Youth Services Librarian,,"59,050",Master's degree,2,None,None
"Library assistants, clerical    * Book Sorter* Braille and Talking Books Clerk* Circulation Clerk* Film Library Clerk* Library Aide* Library Assistant* Library Circulation Clerk* Library Clerk* Medical Library Assistant* Microfilm Clerk",,"26,500",High school diploma or equivalent,7,None,Short-term on-the-job training
"Library science teachers, postsecondary    * Library and Information Science Professor* Library and Information Technology Instructor* Medical Records Library Professor",,"71,560",Doctoral or professional degree,1,None,None
Library technicians    * Cataloging Library Technical Assistant* Library Acquisitions Technician* Library Cataloging Technician* Library Circulation Technician* Library Technical Assistant* Serials or Bindery Library Technical Assistant,,"34,040",Postsecondary nondegree award,5,None,None
Licensed practical and licensed vocational nurses    * LP Nurse* LPN* LVN* Licensed Practical Nurse* Licensed Vocational Nurse* Pediatric Licensed Practical Nurse* Triage Licensed Practical Nurse,,"46,240",Postsecondary nondegree award,5,None,None
"Life scientists, all other    * Life Science Taxonomist",,"78,190",Bachelor's degree,3,None,None
"Life, physical, and social science technicians, all other    * Meteorological Aide* Polygraph Examiner",,"49,670",Associate's degree,4,None,None
"Lifeguards, ski patrol, and other recreational protective service workers    * Beach Lifeguard* Certified Ski Patroller* Life Guard* OEC Technician* Outdoor Emergency Care Technician* Pool Lifeguard* Ski Patrol",,"22,410",No formal educational credential,8,None,Short-term on-the-job training
Light truck or delivery services drivers    * Pharmacy Delivery Driver,,"32,810",High school diploma or equivalent,7,None,Short-term on-the-job training
"Loading machine operators, underground mining    * Coke Loader* Joy Loader* Load Haul Dump Operator",,"51,160",No formal educational credential,8,None,Short-term on-the-job training
Loan interviewers and clerks    * Loan Interviewer* Loan Processor* Mortgage Closing Clerk* Mortgage Loan Closer* Mortgage Loan Processing Clerk* Mortgage Loan Processor* Mortgage Processor,,"39,890",High school diploma or equivalent,7,None,Short-term on-the-job training
Loan officers    * Branch Lending Officer* Commercial Lender* Loan Analyst* Loan Officer* Loan Reviewer* Real Estate Loan Officer,,"63,040",Bachelor's degree,3,None,Moderate-term on-the-job training
"Locker room, coatroom, and dressing room attendants    * Athletic Equipment Manager* Bathhouse Attendant* Checkroom Attendant* Cloak Room Attendant* Coat Checker* Ladies Locker Room Attendant* Locker Room Attendant* Locker Room Manager* Locker Room Supervisor* Washroom Attendant",,"24,030",High school diploma or equivalent,7,None,Short-term on-the-job training
Locksmiths and safe repairers    * Key Maker* Keysmith* Lock Expert* Lock Fitter* Lock Setter* Lock Technician* Locksmith* Safe and Vault Installer* Safe and Vault Mechanic,,"41,450",High school diploma or equivalent,7,None,Long-term on-the-job training
Locomotive engineers    * Freight Engineer* Railroad Engineer* Railway Engineer* Train Engineer,,"62,100",High school diploma or equivalent,7,Less than 5 years,Moderate-term on-the-job training
Locomotive firers    * Diesel Locomotive Firer* Dinkey Engine Firer* Railroad Firer,,"63,820",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Lodging managers    * Bed and Breakfast Innkeeper* Boardinghouse Keeper* Hotel Director* Hotel Manager* Hotel Operations Manager* Innkeeper* Lodging Facilities Manager,,"53,390",High school diploma or equivalent,7,Less than 5 years,None
Log graders and scalers    * Log Check Scaler* Log Grader* Log Scaler* Log Sorter* Timber Estimator* Veneer Grader,,"38,220",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Logging equipment operators    * Delimber Operator* Feller Buncher Operator* Feller Operator* Grapple Operator* Grapple Skidder Operator* Log Hauler* Log Processor Operator* Log Stacker Operator* Logging Crane Operator* Logging Shovel Operator* Logging Tractor Operator* Lumber Stacker Operator* Timber Harvester Operator* Tree-Shear Operator,,"40,510",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Logging workers, all other    * Log Cutter* Log Peeler* Log Roper* Rigging Slinger* Timber Hand",,"39,750",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Logisticians    * Logistician* Logistics Analyst* Logistics Coordinator* Logistics Planner* Logistics Specialist,,"74,600",Bachelor's degree,3,None,None
Machine feeders and offbearers    * Brick Offbearer* Chain Offbearer* Chopper Feeder* Doffer* Dryer Feeder* Hopper Feeder* Hopper Filler* Line Feeder* Offbearer* Packing Machine Can Feeder* Spike Machine Feeder* Spinning Doffer* Spooler Operator,,"29,560",No formal educational credential,8,None,Short-term on-the-job training
Machinists    * Automotive Machinist* CNC Machinist* Gear Machinist* Manual Lathe Machinist* Precision Machinist* Production Machinist* Tool Room Machinist,,"43,630",High school diploma or equivalent,7,None,Long-term on-the-job training
Magnetic resonance imaging technologists    * Computed Tomography/Magnetic Resonance Imaging (CT/MRI) Technologist* MRI Technologist,,"71,670",Associate's degree,4,Less than 5 years,None
Maids and housekeeping cleaners    * Chambermaid* Cleaning Maid* Cottage Attendant* Domestic Maid* House Cleaner* Housekeeping Aide* Housekeeping Staff* Motel Maid* Ward Maid,,"23,770",No formal educational credential,8,None,Short-term on-the-job training
"Mail clerks and mail machine operators, except postal service    * Direct Mail Clerk* Mailroom Clerk* Packaging Clerk",,"30,430",High school diploma or equivalent,7,None,Short-term on-the-job training
"Maintenance and repair workers, general    * Building Maintenance Mechanic* Building Mechanic* Building Services Mechanic* Maintenance Mechanic* Mechanics Handyman* Plant Maintenance Technician",,"38,300",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Maintenance workers, machinery    * Crane Oiler",,"47,060",High school diploma or equivalent,7,None,Long-term on-the-job training
"Makeup artists, theatrical and performance    * Special Effects Makeup Artist",,"64,250",Postsecondary nondegree award,5,None,None
Management analysts    * Business Analyst* Business Consultant* Business Management Analyst* Business Process Consultant* Clerical Methods Analyst* Commercial Specialist* Industrial Analyst* Management Analyst* Management Consultant* Records Management Analyst,,"83,610",Bachelor's degree,3,Less than 5 years,None
"Managers, all other    * Clerk of Court* Director of Entertainment* Environmental Control Administrator* Highway Patrol Commander* Safety Coordinator* Social Science Manager* Utilities Manager",,"107,480",Bachelor's degree,3,Less than 5 years,None
Manicurists and pedicurists    * Fingernail Sculptor* Nail Technician* Pedicurist,,"24,330",Postsecondary nondegree award,5,None,None
Manufactured building and mobile home installers    * Housetrailer Servicer* Mobile Home Mechanic* Mobile Home Servicer* Mobile Home Technician* Modular Home Crew Member,,"32,040",High school diploma or equivalent,7,None,Short-term on-the-job training
Marine engineers and naval architects    * Marine Architect* Marine Equipment Engineer* Marine Structural Designer* Naval Engineer* Ships Equipment Engineer,,"92,560",Bachelor's degree,3,None,None
Market research analysts and marketing specialists    * Market Research Analyst* Market Research Specialist* Marketing Analyst* Marketing Consultant* Marketing Forecaster* Marketing Specialist,,"63,120",Bachelor's degree,3,None,None
Marketing managers    * Internet Marketing Manager* Marketing Administrator* Marketing Director* VP Marketing,,"134,290",Bachelor's degree,3,5 years or more,None
Marriage and family therapists    * Child and Family Counselor* Couples Therapist* Family Counselor* Family Therapist* Marriage Counselor* Marriage Therapist* Relationship Counselor,,"50,090",Master's degree,2,None,Internship/residency
Massage therapists    * Deep Tissue Massage Therapist* Licensed Massage Practitioner* Licensed Massage Therapist* Massage Therapist* Masseur* Masseuse* Massotherapist* Rolfer* Swedish Masseuse,,"41,420",Postsecondary nondegree award,5,None,None
"Material moving workers, all other    * Freight Elevator Operator",,"29,410",No formal educational credential,8,None,Short-term on-the-job training
Materials engineers    * Automotive Sheet Metal Engineer* Ceramic Engineer* Forensic Materials Engineer* Glass Science Engineer* Metallographer* Metallurgical Engineer* Metallurgist* Welding Engineer,,"92,390",Bachelor's degree,3,None,None
Materials scientists    * Materials Scientist* Metal Alloy Scientist* Plastics Scientist,,"99,800",Bachelor's degree,3,None,None
"Mathematical science teachers, postsecondary    * Actuarial Science Professor* Biostatistics Professor* Calculus Professor* Geometry Professor* Mathematics Professor* Statistical Methods Professor* Statistics Professor* Topology Professor",,"73,230",Doctoral or professional degree,1,None,None
Mathematicians    * Algebraist* Cipher Expert* Cryptanalyst* Cryptographer* Cryptographic Vulnerability Analyst* Geometrician* Mathematician,,"101,900",Master's degree,2,None,None
"Meat, poultry, and fish cutters and trimmers    * Crab Picker* Deboner* Fish Cutter* Fish Filleter* Frozen Meat Cutter* Meat Trimmer* Oyster Shucker* Poultry Cutter* Poultry Eviscerator* Shrimp Peeler* Shrimp Picker* Wing Scorer",,"26,950",No formal educational credential,8,None,Short-term on-the-job training
Mechanical door repairers    * Automatic Door Mechanic* Door Closer Mechanic* Garage Door Technician* Mechanical Door Repairer* Overhead Door Technician,,"41,010",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Mechanical drafters    * Aeronautical Drafter* Automotive Design Drafter* Die Designer* Gage Designer* Mechanical Design Drafter* Mechanical Drafter* Tool Designer* Tool and Die Designer,,"55,920",Associate's degree,4,None,None
Mechanical engineering technicians    * Gyroscopic Engineering Technician* Heat Transfer Technician* Hydraulic Technician* Mechanical Engineering Technician* Optomechanical Technician,,"56,250",Associate's degree,4,None,None
Mechanical engineers    * Auto Research Engineer* Combustion Engineer* Engine Designer* Heating and Cooling Systems Engineer* Mechanical Engineer* Tool Engineer* Tool and Die Engineer,,"87,370",Bachelor's degree,3,None,None
"Media and communication equipment workers, all other    * Dimmer Board Operator* Satellite Communications Operator* Spotlight Operator",,"79,580",High school diploma or equivalent,7,None,Short-term on-the-job training
"Media and communication workers, all other    * Stage Technician",,"48,330",High school diploma or equivalent,7,None,Short-term on-the-job training
Medical and health services managers    * Clinic Director* Clinical Services Director* Emergency Medical Service Coordinator* Health Care Manager* Health Services Administrator* Health Services Director* Healthcare Administrator* Healthcare Manager* Hospice Director* Hospice Plan Administrator* Hospital Administrator* Hospital Director* Medical Director* Medical Records Administrator* Medical and Health Information Manager* Mental Health Program Manager* Nursing Home Manager* Nursing Service Director* Occupational Therapy Director* Public Health Administrator* Respiratory Therapy Director* Speech and Hearing Therapy Director* Wellness Director* Wellness Manager,,"99,730",Bachelor's degree,3,Less than 5 years,None
Medical appliance technicians    * Arch-Support Maker* Brace Maker* Hearing Aid Repair Technician* Orthopaedic Technician* Orthopaedic Technologist* Orthotic Fabricator Technician* Orthotic Finish Grinding Technician* Orthotics Fitter* Orthotics Technician* Prosthetics Fabrication Technician* Prosthetics Lab Technician* Prosthetics Technician* Surgical Appliance Fitter,,"39,190",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Medical assistants    * Autopsy Assistant* Certified Medical Assistant* Chiropractic Assistant* Clinical Medical Assistant* Morgue Attendant* Ocular Care Aide* Optometric Aide* Optometrist Assistant* Optometry Assistant* Orthopedic Cast Specialist* Podiatric Aide,,"33,610",Postsecondary nondegree award,5,None,None
Medical equipment preparers    * Central Sterile Supply Technician* Certified Registered Central Service Technician* Health Equipment Servicer* Medical Equipment Preparer* Medical Supply Technician* Oxygen Equipment Preparer* Sterile Preparation Technician* Sterile Processing Technician* Sterile Processing and Distribution Technician* Sterilization Specialist* Sterilization Technician,,"36,240",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Medical equipment repairers    * BMET* Biomedical Electronics Technician* Biomedical Equipment Technician* Certified Biomedical Equipment Technician* Dental Equipment Mechanic* Dental Equipment Repairer* Durable Medical Equipment Repairer* Electromedical Equipment Technician* Radiology Equipment Servicer* Surgical Instrument Mechanic,,"49,210",Associate's degree,4,None,Moderate-term on-the-job training
Medical records and health information technicians    * Cancer Registrar* Health Information Coder* Health Information Specialist* Health Information Systems Technician* Health Records Technician* Medical Records Specialist,,"40,350",Postsecondary nondegree award,5,None,None
"Medical scientists, except epidemiologists    * Cancer Researcher* Clinical Pharmacologist* Clinical Research Scientist* Gerontologist* Histologist* Histopathologist* Immunochemist* Industrial Pharmacist* Medical Health Researcher* Medical Research Scientist* Medical Scientist* Neuroscientist* Pharmacologist* Serologist* Toxicologist",,"84,810",Doctoral or professional degree,1,None,None
Medical secretaries    * Dental Secretary* Hospital Secretary* Psychiatric Secretary,,"35,760",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Medical transcriptionists    * Certified Medical Transcriptionist* Medical Record Transcriber* Medical Stenographer* Medical Transcriber* Medical Transcriptionist* Pathology Transcriptionist* Radiology Transcriptionist* Registered Medical Transcriptionist,,"34,770",Postsecondary nondegree award,5,None,None
"Meeting, convention, and event planners    * Certified Meeting Professional* Conference Organizer* Conference Planner* Conference Planning Manager* Conference Services Director* Conference Services Manager* Convention Planner* Convention Services Manager* Corporate Meeting Planner* Event Planner* Events Manager* Wedding Planner",,"49,370",Bachelor's degree,3,None,None
Mental health and substance abuse social workers    * Community Mental Health Social Worker* Drug Abuse Social Worker* Psychiatric Social Worker* Psychotherapist Social Worker,,"44,840",Master's degree,2,None,Internship/residency
Merchandise displayers and window trimmers    * Display Artist* Display Decorator* Display Designer* Display Specialist* Mannequin Decorator* Merchandise Displayer* Show Floor Decorator* Visual Merchandiser* Visual Merchandising Specialist* Window Decorator* Window Draper* Window Dresser* Window Trimmer,,"28,450",High school diploma or equivalent,7,None,Short-term on-the-job training
"Metal workers and plastic workers, all other    * Electrical Discharge Machine Setup Operator* Metal Rivet Machine Operator* Tin Recovery Worker",,"35,920",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Metal-refining furnace operators and tenders    * Electric Arc Furnace Operator* Melt Room Operator* Smelter Operator,,"41,220",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Meter readers, utilities    * Electric Meter Reader* Gas Meter Reader* Water Meter Reader",,"40,360",High school diploma or equivalent,7,None,Short-term on-the-job training
Microbiologists    * Bacteriologist* Clinical Microbiologist* Medical Microbiologist* Microbiological Analyst* Public Health Microbiologist* Quality Control Microbiologist* Virologist,,"71,650",Bachelor's degree,3,None,None
"Middle school teachers, except special and career/technical education    * 7th Grade Social Studies Teacher* Junior High School Teacher* Middle School PE Teacher* Middle School Science Teacher",,"58,600",Bachelor's degree,3,None,None
"Milling and planing machine setters, operators, and tenders, metal and plastic    * Metal Milling Machine Operator* Metal Rotary Head Milling Machine Setup Operator* Plastic Thread Milling Machine Setup Operator",,"43,590",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Millwrights    * Construction Millwright* Machine Erector* Machinery Dismantler* Maintenance Millwright* Manufacturing Millwright,,"55,060",High school diploma or equivalent,7,None,Apprenticeship
Mine cutting and channeling machine operators    * Bore Miner Operator* Clay Mine Cutting Machine Operator* Long Wall Mining Machine Tender* Long Wall Shear Operator* Mine Cutting and Channeling Machine Operator* Shale Planer Operator* Shearer Operator,,"47,170",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Mine shuttle car operators    * Coal Hauler Operator,,"56,340",No formal educational credential,8,None,Short-term on-the-job training
"Mining and geological engineers, including mining safety engineers    * Geophysical Engineer* Mineral Engineer* Mining Engineer* Seismic Engineer",,"92,250",Bachelor's degree,3,None,None
"Mining machine operators, all other    * Dry Placer Machine Operator* Rock Dust Sprayer* Rock Duster",,"51,490",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Miscellaneous construction and related workers,,"38,860",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Miscellaneous mathematical science occupations,,"57,190",Bachelor's degree,3,None,None
"Mixing and blending machine setters, operators, and tenders    * Asphalt Blender* Clay Mixer* Concrete Batcher* Dye Mixer* Glue Mixer* Ink Blender* Ink Mixer* Plaster Mixer* Resin Mixer",,"37,210",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Mobile heavy equipment mechanics, except engines    * Bulldozer Mechanic* Construction Equipment Mechanic* Dragline Mechanic* Forklift Mechanic* Forklift Technician",,"51,920",High school diploma or equivalent,7,None,Long-term on-the-job training
"Model makers, metal and plastic    * Metal Mockup Maker* Plastic Jig and Fixture Builder",,"56,130",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Model makers, wood    * Architectural Wood Model Maker",,"53,100",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Models    * Artist's Model* Clothes Model* Fashion Model* Figure Model* Hand Model* Hat Model* Model* Photographer's Model* Studio Model,,"23,770",No formal educational credential,8,None,None
"Molders, shapers, and casters, except metal and plastic    * Almond Paste Molder* Burial Vault Maker* Cigar Roller* Clay Modeler* Concrete Vault Maker* Glass Bender* Glass Block Bender* Glass Blower* Glass Presser* Glass Tube Bender* Mannequin Mold Maker* Neon Glass Bender* Neon Glass Blower* Neon Molder* Neon Tube Bender* Rubber Molder* Stone Carver",,"33,340",High school diploma or equivalent,7,None,Long-term on-the-job training
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic    * Aluminum Molding Machine Operator* Blow Mold Operator* Compression Molding Machine Operator* Plastic Cup Fabricating Machine Operator",,"31,480",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Morticians, undertakers, and funeral directors    * Certified Mortician* Funeral Arrangement Director* Funeral Arranger* Funeral Director* Licensed Funeral Director",,"52,650",Associate's degree,4,None,Long-term on-the-job training
Motion picture projectionists    * Chief Projectionist* Film Projector Operator* Motion Picture Operator* Motion Picture Projectionist* Movie Projectionist* Projector Booth Operator* Stereoptician,,"22,760",No formal educational credential,8,None,Short-term on-the-job training
"Motor vehicle operators, all other    * Assembly Line Driver* Ice-Resurfacing Machine Operators* Motorcycle Deliverer* Street Cleaning Equipment Operator* Street Sweeper Operator",,"30,360",No formal educational credential,8,None,Short-term on-the-job training
Motorboat mechanics and service technicians    * Certified Marine Mechanic* Marine Propulsion Technician* Marine Technician* Motorboat Mechanic* Outboard Motor Mechanic* Outboard Technician,,"40,180",High school diploma or equivalent,7,None,Long-term on-the-job training
Motorboat operators    * Launch Operator* Motorboat Operator* Outboard Motorboat Operator* Speedboat Driver* Speedboat Operator* Water Taxi Ferry Operator* Water Taxi Operator,,"50,290",Postsecondary nondegree award,5,Less than 5 years,None
Motorcycle mechanics    * ATV Technician* All Terrain Vehicle Technician* Motor Scooter Mechanic* Motorcycle Mechanic* Motorcycle Repairer* Motorcycle Service Technician* Motorcycle Technician* Scooter Mechanic,,"36,790",Postsecondary nondegree award,5,None,Short-term on-the-job training
Multimedia artists and animators    * 3D Animator* Animator* Multimedia Artist* Special Effects Artist,,"72,520",Bachelor's degree,3,None,None
"Multiple machine tool setters, operators, and tenders, metal and plastic    * Combination Machine Tool Operator* Multi-operation Forming Machine Setter",,"35,390",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Museum technicians and conservators    * Art Conservator* Art Preparator* Conservation Technician* Ethnographic Materials Conservator* Museum Exhibit Technician* Objects Conservator* Paintings Conservator* Paper Conservator* Textile Conservator,,"43,020",Bachelor's degree,3,None,None
Music directors and composers    * Choir Director* Choirmaster* Chorus Master* Composer* Jingle Writer* Maestro* Music Adapter* Music Arranger* Music Copyist* Music Director* Music Minister* Music Pastor* Orchestra Conductor* Orchestra Director* Orchestrator* Songwriter,,"49,630",Bachelor's degree,3,Less than 5 years,None
Musical instrument repairers and tuners    * Accordion Repairer* Band Instrument Repair Technician* Banjo Repairer* Bow Rehairer* Brass and Wind Instrument Repairer* Chip Tuner* Fretted String Instrument Repairer* Guitar Builder* Guitar Repairer* Keyboard Instrument Repairer* Luthier* Mandolin Repairer* Organ Installer* Organ Tuner* Percussion Instrument Repairer* Piano Regulator* Piano Technician* Piano Tuner* Pipe Organ Technician* Stringed Instrument Repairer* Tone Regulator* Violin Repairer,,"36,330",High school diploma or equivalent,7,None,Apprenticeship
Musicians and singers    * Accompanist* Baritone* Bassoonist* Bugler* Cellist* Choir Member* Church Organist* Clarinetist* Concert Pianist* Concert Singer* Double Bass Player* English Horn Player* Flutist* Guitar Player* Guitarist* Harpist* Horn Player* Instrumentalist* Musician* Oboist* Opera Singer* Organist* Percussionist* Pianist* Piano Player* Piccoloist* Rapper* Soloist* Tenor* Timpanist* Trombonist* Trumpet Player* Trumpeter* Violinist* Violist* Vocalist,,N/A,No formal educational credential,8,None,Long-term on-the-job training
Natural sciences managers    * Agricultural Research Director* Geochemical Manager* Geophysical Manager* Ocean Program Administrator,,"123,860",Bachelor's degree,3,5 years or more,None
Network and computer systems administrators    * Computer Systems Security Administrator* LAN Administrator* LAN Systems Administrator* Local Area Network Administrator* Network Coordinator* Network Security Administrator* Network Support Coordinator* Network Support Manager* Network Systems Administrator* Network Systems Coordinator* WAN Systems Administrator* Wide Area Network Administrator,,"82,050",Bachelor's degree,3,None,None
New accounts clerks    * Banking Services Clerk* New Accounts Banking Representative* New Client Banking Services Clerk,,"35,800",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Nonfarm animal caretakers    * Animal Care Giver* Animal Care Technician* Animal Caregiver* Animal Daycare Provider* Animal Groomer* Animal Shelter Worker* Animal Sitter* Aquarist* Aquarium Tank Attendant* Cat and Dog Bather* Dog Bather* Dog Beautician* Dog Groomer* Dog Sitter* Horse Exerciser* Kennel Aide* Kennel Attendant* Kennel Helper* Kennel Worker* Pet Feeder* Pet Groomer* Pet Sitter* Pet Stylist* Zookeeper,,"23,760",High school diploma or equivalent,7,None,Short-term on-the-job training
Nuclear engineers    * Atomic Process Engineer* Nuclear Engineer* Nuclear Radiation Engineer* Nuclear Steam Supply System Engineer* Radiation Engineer* Reactor Engineer* Reactor Projects Engineer,,"107,600",Bachelor's degree,3,None,None
Nuclear medicine technologists    * Certified Nuclear Medicine Technologist* Isotope Technologist* Nuclear Cardiology Technologist* Nuclear Medical Technologist* Radioisotope Technologist* Registered Nuclear Medicine Technologist,,"76,820",Associate's degree,4,None,None
Nuclear power reactor operators    * Nuclear Control Room Operator* Nuclear Reactor Operator* Nuclear Station Operator* Reactor Operator,,"94,350",High school diploma or equivalent,7,None,Long-term on-the-job training
Nuclear technicians    * Nuclear Monitoring Technician* Nuclear Technician* Radiation Protection Technician* Radiochemical Technician,,"79,140",Associate's degree,4,None,Moderate-term on-the-job training
Nurse anesthetists    * Certified Registered Nurse Anesthetist* Certified Registered Nurse Anesthetist (CRNA)* DNAP* Doctor of Nurse Anesthesia Practice* Nurse Anesthetist,,"167,950",Master's degree,2,None,None
